"","p_val","avg_logFC","pct.1","pct.2","p_val_adj","cluster","gene"
"Satb1",0,1.06330791786901,0.552,0.002,0,"11","Satb1"
"Itgb7",0,1.06134405125565,0.448,0.001,0,"11","Itgb7"
"Klre1",0,1.05531243484405,0.345,0,0,"11","Klre1"
"Fam65b",0,1.04322302736316,0.483,0.002,0,"11","Fam65b"
"Fasl",0,1.03083288400698,0.379,0,0,"11","Fasl"
"Ccr2",0,1.02594822001476,0.345,0,0,"11","Ccr2"
"Ikzf1",0,1.00462221081231,0.552,0,0,"11","Ikzf1"
"Rassf5",0,1.00158347409021,0.517,0.001,0,"11","Rassf5"
"Bcl2a1b",0,0.99351273047265,0.448,0,0,"11","Bcl2a1b"
"Rhoh",0,0.98125049896985,0.483,0,0,"11","Rhoh"
"Sell",0,0.970855752086262,0.414,0,0,"11","Sell"
"Dock102",0,0.953642635472832,0.586,0.003,0,"11","Dock10"
"Ctss",0,0.943561780200292,0.345,0,0,"11","Ctss"
"Stat4",0,0.943390176080259,0.517,0.004,0,"11","Stat4"
"Ctla4",0,0.940937714246332,0.276,0,0,"11","Ctla4"
"Tnfrsf18",0,0.937239218665766,0.483,0,0,"11","Tnfrsf18"
"Ptpn6",0,0.917914470959492,0.414,0,0,"11","Ptpn6"
"Il18rap",0,0.903240508711066,0.31,0,0,"11","Il18rap"
"Gpr183",0,0.896493443401555,0.31,0,0,"11","Gpr183"
"Cd48",0,0.889693359069453,0.483,0,0,"11","Cd48"
"Prf1",0,0.885451180859415,0.276,0,0,"11","Prf1"
"Klrc2",0,0.881591527808598,0.31,0,0,"11","Klrc2"
"Arhgap9",0,0.876529881098165,0.483,0,0,"11","Arhgap9"
"Klrb1c",0,0.875391390359072,0.276,0,0,"11","Klrb1c"
"Cd84",0,0.868832901382096,0.448,0.001,0,"11","Cd84"
"P2ry10",0,0.857172780826595,0.448,0,0,"11","P2ry10"
"Mbp",0,0.848616457463026,0.379,0,0,"11","Mbp"
