"","p_val","avg_logFC","pct.1","pct.2","p_val_adj","cluster","gene"
"Trim472",5.90792480024821e-78,0.315057146635496,0.898,0.634,1.06277659231665e-73,"3","Trim47"
"Gnai21",6.95278315577309e-78,0.308114312626278,0.999,0.922,1.25073616189202e-73,"3","Gnai2"
"H191",1.6165921838848e-77,0.511944061348154,0.602,0.296,2.90808767959037e-73,"3","H19"
"Nos32",2.05190933435206e-77,0.285719137272899,0.872,0.519,3.69117970156591e-73,"3","Nos3"
"Cd2ap2",5.745840369804e-77,0.344810267016383,0.953,0.707,1.03361922412404e-72,"3","Cd2ap"
"Ptprg1",1.20908500663035e-76,0.321486817273245,0.882,0.562,2.17502301842734e-72,"3","Ptprg"
"Ybx11",1.52504865573447e-76,0.269247295883575,1,0.94,2.74341002680074e-72,"3","Ybx1"
"Gatsl31",2.54665832647043e-76,0.251309020586914,0.66,0.349,4.58118366348765e-72,"3","Gatsl3"
"Plk21",2.86245849982057e-76,0.413237367268486,0.876,0.541,5.14927659532722e-72,"3","Plk2"
"Ehd21",5.15737281405956e-76,0.322870651262941,0.993,0.854,9.27759795521174e-72,"3","Ehd2"
"Heg12",9.46521673753918e-76,0.317511022188219,0.975,0.654,1.70269783891592e-71,"3","Heg1"
"Cdh51",9.53221197361117e-76,0.387115275457271,0.998,0.643,1.71474961193291e-71,"3","Cdh5"
"Vamp51",1.41632176712717e-74,0.277964965640423,0.826,0.513,2.54782122688506e-70,"3","Vamp5"
"Krtcap2",2.93558915375274e-74,0.278495252623825,0.976,0.826,5.28083132868581e-70,"3","Krtcap2"
"Rps28",5.70503140184635e-74,0.254643048469708,1,0.96,1.02627809887814e-69,"3","Rps28"
"Prex21",3.22418573384056e-73,0.302375567304188,0.943,0.586,5.79998771660578e-69,"3","Prex2"
"Tmed10",3.96993494138572e-73,0.276582235980899,0.987,0.84,7.14151596605877e-69,"3","Tmed10"
"Mecom1",8.1213455206472e-73,0.291557203953987,0.966,0.636,1.46094884570923e-68,"3","Mecom"
"Atf4",5.83944905918533e-72,0.335426477878435,0.954,0.756,1.05045849125685e-67,"3","Atf4"
"Junb",7.66382242357107e-72,0.412030870706433,1,0.841,1.3786450157762e-67,"3","Junb"
"Rgs101",1.05080149151443e-70,0.297281811871064,0.89,0.535,1.89028680308532e-66,"3","Rgs10"
"Swap702",1.19015317013018e-70,0.262339666225979,0.807,0.496,2.14096653774718e-66,"3","Swap70"
"Ssfa22",3.02156845320644e-70,0.270392142336419,0.844,0.537,5.43549949047306e-66,"3","Ssfa2"
"Jag12",4.04865245372677e-70,0.343627978353261,0.974,0.801,7.28312089900909e-66,"3","Jag1"
"Hnrnpa0",4.14303379798679e-70,0.273371338532592,0.994,0.877,7.45290349919843e-66,"3","Hnrnpa0"
"Selk",1.58312048106275e-69,0.283173494032578,0.995,0.888,2.84787543338378e-65,"3","Selk"
"Lmo11",3.15979324950315e-69,0.280269925081923,0.758,0.409,5.68415207653122e-65,"3","Lmo1"
"Slc45a41",3.26850413376521e-69,0.357470875597539,0.678,0.402,5.87971208623024e-65,"3","Slc45a4"
"Arhgap311",3.84873372139352e-69,0.339353784029,0.942,0.646,6.9234870914148e-65,"3","Arhgap31"
"Arl6ip52",4.39865679438293e-69,0.273778633454921,0.948,0.749,7.91274370741545e-65,"3","Arl6ip5"
"Arpc3",5.11977816207197e-69,0.263590086074741,0.988,0.874,9.20996893575127e-65,"3","Arpc3"
"Wt1",9.8303371878708e-69,0.282459365167354,0.752,0.411,1.76837935672608e-64,"3","Wt1"
"Ifngr11",1.21930540195158e-68,0.284735042333334,0.836,0.566,2.19340848757069e-64,"3","Ifngr1"
"Fkbp1a1",3.23484470472163e-67,0.265359841916457,0.994,0.901,5.81916213932374e-63,"3","Fkbp1a"
"Dnajb9",7.60024897964327e-67,0.307530354404273,0.67,0.399,1.36720878894803e-62,"3","Dnajb9"
"Mrps6",7.91364511724062e-67,0.274772317102871,0.81,0.545,1.42358562014042e-62,"3","Mrps6"
"Csrnp1",5.00784058997827e-66,0.319246192342079,0.843,0.536,9.0086044373119e-62,"3","Csrnp1"
"Ptprb2",6.27253289432495e-66,0.361349605882616,0.999,0.649,1.12836594236011e-61,"3","Ptprb"
"Prdx6",6.77348791457271e-66,0.275559134112823,0.9,0.682,1.21848274095248e-61,"3","Prdx6"
"Utrn1",2.37766710622697e-65,0.270885243946354,0.937,0.763,4.2771853573917e-61,"3","Utrn"
"Uchl1",2.57222662226984e-65,0.284993819878593,0.645,0.37,4.62717847080122e-61,"3","Uchl1"
"Dnaja1",3.03085456227775e-65,0.293348418715747,0.996,0.894,5.45220427208145e-61,"3","Dnaja1"
"Pdia61",5.04565327788992e-65,0.29237005611517,0.933,0.759,9.07662568159617e-61,"3","Pdia6"
"Ubc",5.35395786928546e-65,0.339483266135091,0.996,0.926,9.63123481105762e-61,"3","Ubc"
"Adam102",6.87623867517551e-65,0.283254700740258,0.877,0.608,1.23696657527732e-60,"3","Adam10"
"Azin11",4.28817846407762e-64,0.304275766347792,0.972,0.756,7.71400423902923e-60,"3","Azin1"
"Ier3",7.04848690404726e-64,0.368170731285804,0.941,0.687,1.26795230916906e-59,"3","Ier3"
"Foxp11",1.03169894772158e-63,0.299813012517506,0.959,0.77,1.85592323705634e-59,"3","Foxp1"
"Efnb22",2.51371437980193e-63,0.313693807962102,0.952,0.692,4.52192079782569e-59,"3","Efnb2"
"Anxa32",3.28927262038691e-63,0.289561469466529,0.944,0.711,5.91707251681401e-59,"3","Anxa3"
"Calm1",6.71257352228425e-63,0.254968297243041,0.999,0.938,1.20752485092371e-58,"3","Calm1"
"Sav1",2.26763904471373e-62,0.266264624915757,0.784,0.521,4.07925587753553e-58,"3","Sav1"
"Klf13",3.91509669574716e-62,0.294625031327662,0.941,0.727,7.04286744597956e-58,"3","Klf13"
"S100a131",5.31800360064301e-62,0.280746052254184,0.987,0.746,9.56655667719671e-58,"3","S100a13"
"Atp1b31",4.44678042567078e-61,0.251064871494537,0.92,0.676,7.99931330773916e-57,"3","Atp1b3"
"Klf6",1.93789484764595e-60,0.344389918584678,0.968,0.758,3.48607904143031e-56,"3","Klf6"
"Spint21",2.49746169721248e-60,0.290784927146222,0.823,0.568,4.49268384711553e-56,"3","Spint2"
"Adamts11",5.49210555246232e-60,0.407190766048771,0.991,0.853,9.87974867832447e-56,"3","Adamts1"
"Zyx1",1.25456566567781e-59,0.287936960237684,0.97,0.823,2.25683817598781e-55,"3","Zyx"
"Zfp36l1",6.61116597407475e-59,0.35751944937582,0.993,0.854,1.18928264707631e-54,"3","Zfp36l1"
"Slco3a1",2.08012596675208e-58,0.273985240134162,0.751,0.502,3.74193860159031e-54,"3","Slco3a1"
"Cd59a2",2.73343741156707e-58,0.266157239632961,0.858,0.609,4.917180559668e-54,"3","Cd59a"
"Gnaq",3.83594124878325e-58,0.255707197324742,0.853,0.589,6.90047471243619e-54,"3","Gnaq"
"Jmjd1c",1.14537396936588e-57,0.359285075184197,0.832,0.609,2.06041323349228e-53,"3","Jmjd1c"
"Nr4a21",1.86065692151644e-57,0.280261255955652,0.93,0.645,3.34713573611592e-53,"3","Nr4a2"
"Cbfa2t32",2.57538611764206e-57,0.288801140798114,0.848,0.559,4.6328620870263e-53,"3","Cbfa2t3"
"Cnn31",1.89712819338494e-56,0.258121449382531,0.953,0.703,3.41274390708017e-52,"3","Cnn3"
"Ier5l",3.44692756372271e-56,0.319944906664958,0.895,0.637,6.20067799438078e-52,"3","Ier5l"
"Fbxw7",6.14668237726391e-56,0.25609641191356,0.658,0.395,1.105726692846e-51,"3","Fbxw7"
"Nus1",6.41916702589411e-56,0.260196689232096,0.787,0.518,1.15474395628809e-51,"3","Nus1"
"App1",1.13626188959103e-55,0.25939987339895,0.989,0.86,2.0440215131853e-51,"3","App"
"Gm17056",1.80848112539607e-55,0.287217530226868,0.462,0.233,3.25327669647499e-51,"3","Gm17056"
"Gata61",1.85220744988998e-54,0.260379121752971,0.733,0.474,3.33193598160708e-50,"3","Gata6"
"Stc1",2.31307595934014e-54,0.299381458534739,0.485,0.244,4.16099234325698e-50,"3","Stc1"
"Icam1",6.68704500154363e-53,0.306064340710472,0.532,0.282,1.20293252532768e-48,"3","Icam1"
"Arl5b",3.25863090200484e-52,0.250522555974835,0.665,0.411,5.86195112961651e-48,"3","Arl5b"
"Trib1",2.64459690385606e-51,0.27910874860074,0.615,0.364,4.75736537034666e-47,"3","Trib1"
"Klf3",8.92212101613986e-50,0.259418155467891,0.884,0.619,1.6050003495934e-45,"3","Klf3"
