"","p_val","avg_logFC","pct.1","pct.2","p_val_adj","cluster","gene"
"Chadl",1.51806188496761e-32,1.09549162957041,0.667,0.016,2.79976153444575e-28,"16","Chadl"
"Plekha4",2.25514177967427e-32,1.29347071985208,0.667,0.016,4.15915798425325e-28,"16","Plekha4"
"Ephb2",2.36548791552982e-32,0.655129295151932,0.5,0.009,4.36266936261165e-28,"16","Ephb2"
"Egfl81",4.00020611675932e-32,2.1520871006091,0.833,0.027,7.37758014113921e-28,"16","Egfl8"
"Iqgap2",8.81880259781702e-28,1.51109341867544,0.667,0.02,1.62645176311539e-23,"16","Iqgap2"
"Epha5",9.14980637578317e-28,0.889073212960092,0.333,0.004,1.68749878988569e-23,"16","Epha5"
"Ngfr",3.63057207128511e-27,0.959871219481541,0.5,0.011,6.69586407107113e-23,"16","Ngfr"
"Megf9",4.58538741940097e-26,1.19063565058566,0.833,0.034,8.45683001760121e-22,"16","Megf9"
"Zdhhc2",1.0358120023635e-25,0.892413942900844,0.833,0.034,1.91034807595901e-21,"16","Zdhhc2"
"Kcna6",2.84216592686309e-25,1.31962346740177,0.5,0.012,5.2418066189136e-21,"16","Kcna6"
"Lrrc8b",2.99110809732602e-25,1.38042823190762,1,0.052,5.51650066389838e-21,"16","Lrrc8b"
"Gfra2",4.79729985064981e-25,1.01020771716902,0.667,0.022,8.84766011455345e-21,"16","Gfra2"
"Adgrg6",5.25622338580132e-25,1.15830886958083,0.667,0.022,9.69405279043338e-21,"16","Adgrg6"
"Ank3",1.88206623124295e-24,1.22529585347008,1,0.053,3.47109475028138e-20,"16","Ank3"
"Dagla",4.08826329133266e-24,0.821215685419485,0.5,0.013,7.53998398820482e-20,"16","Dagla"
"Fam134b",6.49617741778866e-24,1.11157448502872,0.833,0.037,1.19809000116276e-19,"16","Fam134b"
"Deptor",8.23502739052427e-24,1.31335427198721,0.667,0.024,1.51878610163439e-19,"16","Deptor"
"Depdc7",2.5935468571273e-23,0.493029259980583,0.333,0.005,4.78327846859987e-19,"16","Depdc7"
"Slitrk2",2.74202502723368e-23,0.493903017805499,0.333,0.005,5.05711675772708e-19,"16","Slitrk2"
"Scg3",1.45213210775119e-21,0.872349422573849,0.333,0.006,2.67816724632552e-17,"16","Scg3"
"Paqr61",1.58335251228813e-21,0.932137108195028,0.5,0.014,2.92017703841299e-17,"16","Paqr6"
"Atp8a1",1.08703575030157e-20,1.15130544459174,0.667,0.027,2.00482003428119e-16,"16","Atp8a1"
