"","Cluter","Number_cells"
"1","0",230
"2","1",128
"3","2",288
"4","3",31
"5","4",115
"6","5",24
"7","6",466
"8","7",45
"9","8",124
"10","9",42
"11","10",18
"12","11",87
"13","12",170
"14","13",42
"15","14",2
"16","15",4
"17","16",6
"18","17",3
