"","p_val","avg_logFC","pct.1","pct.2","p_val_adj","cluster","gene"
"Rbpms",1.77944870773856e-62,0.292861179383834,0.948,0.664,3.28183725168223e-58,"5","Rbpms"
"Oat",7.97096897692005e-62,0.363958656524546,0.944,0.677,1.47008580841337e-57,"5","Oat"
"Dbi",6.06667755161469e-61,0.345695519125747,0.983,0.879,1.1188773408443e-56,"5","Dbi"
"Ifi301",1.68113176033714e-60,0.252880718892112,0.757,0.363,3.10051130558979e-56,"5","Ifi30"
"Plxdc22",2.09245553670056e-60,0.339326576531414,0.783,0.394,3.85911574633684e-56,"5","Plxdc2"
"Tbl1x",9.45820343056694e-60,0.329896433196914,0.866,0.551,1.74437645869946e-55,"5","Tbl1x"
"Sptssa",1.2632067662876e-59,0.373537851815994,0.951,0.723,2.32973223906421e-55,"5","Sptssa"
"1810037I17Rik",2.6668370064066e-59,0.352089720078777,0.957,0.762,4.9184474909157e-55,"5","1810037I17Rik"
"Ube4b",5.47387521293229e-59,0.261674430874796,0.707,0.344,1.0095468055211e-54,"5","Ube4b"
"Slc38a2",1.08081496778449e-58,0.328303166357281,0.823,0.484,1.99334704508493e-54,"5","Slc38a2"
"Pacsin2",8.32396461623038e-58,0.28231373247794,0.732,0.371,1.53518879417137e-53,"5","Pacsin2"
"Metrnl",2.36693570942173e-57,0.26944005205754,0.629,0.282,4.3653395288865e-53,"5","Metrnl"
"Grb10",5.04331928218347e-57,0.372274827529263,0.934,0.718,9.30139375213097e-53,"5","Grb10"
"Tmem132a",7.58204434608438e-57,0.392246917351155,0.652,0.32,1.39835643874834e-52,"5","Tmem132a"
"Myof",1.22031386064344e-56,0.257158665852307,0.753,0.371,2.2506248531847e-52,"5","Myof"
"Zfp36l2",1.43036432871649e-56,0.422986391152736,0.812,0.505,2.63802093145182e-52,"5","Zfp36l2"
"Capns1",1.44433897985332e-55,0.340000916329794,0.977,0.861,2.66379438054348e-51,"5","Capns1"
"Msi2",5.9597146687434e-55,0.279346967350773,0.796,0.425,1.09915017635635e-50,"5","Msi2"
"Txnip2",8.42290335910891e-55,0.483418558739925,0.93,0.707,1.55343606652046e-50,"5","Txnip"
"Sfxn1",9.95850275451668e-55,0.254706547268145,0.736,0.383,1.83664666301551e-50,"5","Sfxn1"
"Gm10076",1.39558609178382e-54,0.30302739406353,0.992,0.948,2.57387942907689e-50,"5","Gm10076"
"Ctsl2",2.52224823368661e-54,0.365976376227537,0.992,0.892,4.65178241738821e-50,"5","Ctsl"
"Tbrg1",7.60096487082326e-54,0.340246374225242,0.955,0.806,1.40184595112593e-49,"5","Tbrg1"
"Igsf3",8.71269172027459e-54,0.269530497692541,0.781,0.409,1.60688173397024e-49,"5","Igsf3"
"Rbbp71",9.4010994413192e-54,0.330262740559371,0.922,0.671,1.7338447699625e-49,"5","Rbbp7"
"Itgav",9.84717124690102e-54,0.266684843502728,0.845,0.471,1.81611379306595e-49,"5","Itgav"
"Ier31",1.55697711093594e-53,0.406486332585964,0.817,0.469,2.87153288569916e-49,"5","Ier3"
"Rpl5",5.74498356816631e-53,0.269299781272609,0.998,0.951,1.05954731947691e-48,"5","Rpl5"
"Pdia4",8.27544833784369e-53,0.304962295887399,0.823,0.51,1.52624093694851e-48,"5","Pdia4"
"Bach1",2.55351764156787e-52,0.296557118709788,0.75,0.407,4.70945258634363e-48,"5","Bach1"
"Efnb1",4.47656212569216e-52,0.274054712844631,0.67,0.325,8.25612352841405e-48,"5","Efnb1"
"Timp3",6.43572031412076e-52,0.53849401112018,0.922,0.658,1.18693989753329e-47,"5","Timp3"
"Ubr5",6.99984187548643e-52,0.268509115305966,0.812,0.469,1.29098083709596e-47,"5","Ubr5"
"Fn12",1.58063724459884e-51,0.544461437556702,0.981,0.82,2.91516927021365e-47,"5","Fn1"
"Zfos1",7.75430006433954e-51,0.346690953767552,0.887,0.591,1.43012556086614e-46,"5","Zfos1"
"Lrp10",8.07638286544653e-51,0.253513487710274,0.87,0.525,1.4895272918743e-46,"5","Lrp10"
"Crip1",1.59845371714099e-50,0.623739639689041,0.988,0.924,2.94802819052313e-46,"5","Crip1"
"Sema5a1",2.93903597005586e-50,0.281957325207053,0.701,0.351,5.42046403957402e-46,"5","Sema5a"
"Plec1",1.82734745145664e-49,0.325663689989336,0.895,0.574,3.37017690472148e-45,"5","Plec"
"S100a62",3.51527461819042e-49,0.583381464394666,0.975,0.786,6.48322097832859e-45,"5","S100a6"
"Tspo",8.82190343586138e-49,0.293849090838182,0.977,0.797,1.62702365067591e-44,"5","Tspo"
"Fgl2",8.43163698223292e-48,0.346713078498581,0.499,0.215,1.55504680863322e-43,"5","Fgl2"
"Rad23b",1.04627826547697e-47,0.259448094796486,0.792,0.467,1.92965100501918e-43,"5","Rad23b"
"Heg11",5.27285828905033e-47,0.294674887689303,0.924,0.636,9.72473254249553e-43,"5","Heg1"
"Ube2h",1.08135266404509e-46,0.277250635563348,0.843,0.538,1.99433871829836e-42,"5","Ube2h"
"Spon22",2.82277914779552e-46,0.394533590159956,0.763,0.402,5.20605158227928e-42,"5","Spon2"
"Snrpg",3.53981272504125e-46,0.310187006994314,0.965,0.813,6.52847660879359e-42,"5","Snrpg"
"BC005537",1.27123396875336e-45,0.275887587523326,0.887,0.585,2.34453680857183e-41,"5","BC005537"
