"","Cluter","Number_cells"
"1","0",381
"2","1",128
"3","2",137
"4","3",58
"5","4",4
"6","5",93
"7","6",68
"8","7",26
"9","8",389
"10","9",76
"11","10",17
"12","11",173
"13","12",88
"14","13",151
"15","14",79
"16","15",12
"17","16",21
