"","p_val","avg_logFC","pct.1","pct.2","p_val_adj","cluster","gene"
"Wac",0.000382452799757176,0.865903684155566,1,0.267,1,"4","Wac"
"Il1r11",0.000383810153586966,1.07786069665782,0.5,0.066,1,"4","Il1r1"
"Ahcyl2",0.000391072212472416,0.647250030368144,0.5,0.064,1,"4","Ahcyl2"
"Olfr5581",0.00039853461325487,1.105914981931,0.75,0.152,1,"4","Olfr558"
"Nr2f21",0.000399177248532805,0.900725806682902,0.75,0.142,1,"4","Nr2f2"
"Tarbp2",0.000446865373595665,0.761789675766307,0.5,0.066,1,"4","Tarbp2"
"Ogfod3",0.000454194681851914,0.75329134781006,0.5,0.067,1,"4","Ogfod3"
"Nrarp2",0.000469114143500005,0.876190988747035,1,0.296,1,"4","Nrarp"
"Errfi11",0.000474683291156117,1.02310077707547,1,0.256,1,"4","Errfi1"
"Epb41",0.000492733850633939,0.926220229825229,0.75,0.154,1,"4","Epb41"
"Efr3a",0.000504675424258323,0.835736889412891,0.75,0.15,1,"4","Efr3a"
"Bmpr22",0.000506092047981169,1.08125219557591,1,0.328,1,"4","Bmpr2"
"Cd300lg",0.000539243941453517,0.807854614153914,0.5,0.065,1,"4","Cd300lg"
"Mmadhc",0.000566361417099002,0.876994426566297,0.75,0.154,1,"4","Mmadhc"
"Med20",0.000577990943309327,0.721401649259391,0.5,0.067,1,"4","Med20"
"Ccnc",0.000614018733151114,0.641201716359466,0.5,0.068,1,"4","Ccnc"
"Fam117b",0.000614018750685628,0.729063196009623,0.5,0.068,1,"4","Fam117b"
"Smim13",0.000623473005838345,0.640738606140878,0.5,0.068,1,"4","Smim13"
"Adam19",0.000629215077863716,1.21165664248434,0.5,0.074,1,"4","Adam19"
"Zbtb41",0.00063221718446808,0.726939750617161,0.5,0.069,1,"4","Zbtb41"
"Ago1",0.000637040059666844,0.639082930164375,0.5,0.069,1,"4","Ago1"
"Zbtb22",0.000653044793130527,0.775343518157955,0.5,0.07,1,"4","Zbtb22"
"Zdhhc21",0.000662136371988903,1.23617279965862,0.5,0.075,1,"4","Zdhhc21"
"Fkrp",0.000662916706204753,0.773266376580978,0.5,0.07,1,"4","Fkrp"
"Rnf2",0.000706310125535078,0.904902202674762,0.5,0.076,1,"4","Rnf2"
"Gosr1",0.000709081337137214,0.716964770668249,0.5,0.07,1,"4","Gosr1"
"Casp81",0.00071004882487041,0.838972612162713,0.75,0.156,1,"4","Casp8"
"Amotl1",0.000757645575220922,1.12278771287093,1,0.29,1,"4","Amotl1"
"Rpf1",0.000761776468311917,0.922947967836975,0.5,0.077,1,"4","Rpf1"
"Pi4ka",0.000763577832876203,0.689144521407834,0.5,0.069,1,"4","Pi4ka"
"Rbfa",0.00077458001671612,0.811320912744594,0.5,0.076,1,"4","Rbfa"
"Tox4",0.000795924942772134,0.893076787160634,0.75,0.163,1,"4","Tox4"
"2410089E03Rik",0.000800758687121484,0.719279629590162,0.5,0.07,1,"4","2410089E03Rik"
"Csgalnact2",0.000803044455006955,0.704806897217919,0.5,0.072,1,"4","Csgalnact2"
"Mapkapk2",0.000804097413447315,0.847627720786177,0.75,0.163,1,"4","Mapkapk2"
"Trmt1l",0.000808779810440987,0.627309087202426,0.5,0.069,1,"4","Trmt1l"
"Man2a2",0.000890770797504194,0.794198557278455,0.5,0.076,1,"4","Man2a2"
"Gapvd1",0.000899388040788171,1.08773787174415,0.75,0.185,1,"4","Gapvd1"
"Orai3",0.000908503154152764,0.661541790942597,0.5,0.073,1,"4","Orai3"
"Ncor2",0.00095368326130501,0.773925195024101,0.75,0.159,1,"4","Ncor2"
"Fosb2",0.000976859977644233,1.33663110587398,1,0.429,1,"4","Fosb"
"Armc10",0.00103897148339433,0.708155866184647,0.5,0.074,1,"4","Armc10"
"Vps26b",0.00110382988480809,0.710629234079002,0.5,0.075,1,"4","Vps26b"
"Cdip1",0.00113012048198659,0.79253110978183,0.5,0.08,1,"4","Cdip1"
"Hnrnpul1",0.00117087509415762,1.14970694413073,0.75,0.195,1,"4","Hnrnpul1"
"Notch21",0.00121735652519014,0.853806491556078,0.5,0.081,1,"4","Notch2"
"Ttc4",0.00129742352840285,0.908064136193158,0.5,0.083,1,"4","Ttc4"
"Psmb81",0.00133538854919227,0.885345146063531,0.75,0.193,1,"4","Psmb8"
"Slc44a21",0.00134153491641915,0.928504664233017,0.75,0.193,1,"4","Slc44a2"
"Acbd3",0.00135316223584124,0.857711061999107,0.75,0.174,1,"4","Acbd3"
"Slc30a1",0.00138726333283172,0.871389940161501,0.5,0.083,1,"4","Slc30a1"
"Wtip1",0.00140762082536764,0.846994354874332,1,0.286,1,"4","Wtip"
"Daam21",0.00147054066205889,0.734940469256246,0.5,0.078,1,"4","Daam2"
"Sacs",0.001512238842397,1.23903219566579,0.5,0.086,1,"4","Sacs"
"Cuedc1",0.0015320738336721,0.883703236099676,0.75,0.193,1,"4","Cuedc1"
"Sesn3",0.0015395930996905,0.951699105923279,0.5,0.08,1,"4","Sesn3"
"Rora",0.00158146325567805,0.830393434905614,0.5,0.083,1,"4","Rora"
"Rasl121",0.00163427680643461,0.645004317774377,0.5,0.08,1,"4","Rasl12"
"Ednra1",0.00168615973760399,0.919429844163492,0.5,0.085,1,"4","Ednra"
"Tiprl",0.00174588327753244,1.11780895097711,0.75,0.187,1,"4","Tiprl"
"Atp6v1d",0.00176086711735637,1.09997380294557,0.75,0.186,1,"4","Atp6v1d"
"Bscl2",0.00184474666695822,0.697379147151472,0.5,0.081,1,"4","Bscl2"
"S1pr13",0.00188961758756216,1.1019549060509,1,0.416,1,"4","S1pr1"
"Creld2",0.0019011100242526,0.690104505938558,0.5,0.08,1,"4","Creld2"
"Sept112",0.00210551176250843,0.87560058309494,1,0.393,1,"4","Sept11"
"Nr4a12",0.00212221431851515,1.17728900287082,1,0.424,1,"4","Nr4a1"
"Adamts41",0.00212692341304768,0.845837155150804,0.5,0.085,1,"4","Adamts4"
"Zbtb11",0.0021577460203246,0.621810380229246,0.5,0.081,1,"4","Zbtb11"
