"","p_val","avg_logFC","pct.1","pct.2","p_val_adj","cluster","gene"
"Pnp",3.06211730762281e-147,0.283544293940326,0.874,0.538,5.53538945698976e-143,"1","Pnp"
"Gadd45b1",4.62294186308906e-146,0.382854436227843,0.895,0.551,8.3568920059061e-142,"1","Gadd45b"
"Id2",9.2344542809588e-146,0.385218116660331,0.703,0.394,1.66931230036892e-141,"1","Id2"
"Col6a21",4.83500177360859e-144,0.294922883022035,0.984,0.557,8.74023270615225e-140,"1","Col6a2"
"Arf4",1.84678321826518e-140,0.251904548689135,0.98,0.636,3.33843002365796e-136,"1","Arf4"
"Jund",1.79365340933508e-139,0.391668280402856,0.999,0.818,3.24238726805502e-135,"1","Jund"
"Ccl7",2.63803654055543e-138,0.938687631151088,0.391,0.148,4.76877865436204e-134,"1","Ccl7"
"Rcn31",3.05099217771533e-137,0.279622760868423,0.975,0.551,5.51527855965601e-133,"1","Rcn3"
"Hspe1",2.79787513347908e-136,0.317773709382478,0.957,0.619,5.05771887879013e-132,"1","Hspe1"
"Hmox1",6.19500958575868e-136,0.321186800466405,0.483,0.223,1.1198718828176e-131,"1","Hmox1"
"Socs1",6.41958800299578e-136,0.380151729486333,0.438,0.192,1.16046892330155e-131,"1","Socs1"
"F2r",3.29454203261772e-135,0.251138469679764,0.782,0.463,5.95554363236306e-131,"1","F2r"
"Clmp",2.31186214637077e-131,0.25620923005096,0.697,0.385,4.17915320199444e-127,"1","Clmp"
"Serpina3n",3.14723014345988e-130,0.338563798002706,0.741,0.406,5.68924793033243e-126,"1","Serpina3n"
"Rpl10",5.56412597989647e-126,0.275016610162889,0.996,0.804,1.00582705338588e-121,"1","Rpl10"
"Hspa5",3.27982512622756e-125,0.296224734589183,0.994,0.717,5.92893988068156e-121,"1","Hspa5"
"Hspa8",7.60892799662549e-125,0.369523901027595,0.996,0.8,1.37546591394999e-120,"1","Hspa8"
"Col6a11",1.93831818315798e-124,0.291913636397098,0.993,0.577,3.50389777969469e-120,"1","Col6a1"
"Gda",4.38424870624202e-124,0.256965234370471,0.554,0.281,7.92540638627369e-120,"1","Gda"
"Hk2",1.04652518191067e-123,0.262972906629855,0.564,0.288,1.89180357133991e-119,"1","Hk2"
"Trib1",1.88196563052745e-122,0.282064052177344,0.551,0.283,3.40202927030447e-118,"1","Trib1"
"Srpx",1.08187304932173e-120,0.304573838357543,0.502,0.254,1.95570191125889e-116,"1","Srpx"
"Lbp",2.41420852803914e-120,0.2786178183497,0.537,0.264,4.36416475613636e-116,"1","Lbp"
"Tppp3",4.51657601886358e-118,0.322567238591347,0.606,0.325,8.16461446929968e-114,"1","Tppp3"
"Fam46a",3.16916841002753e-114,0.252381464778944,0.638,0.357,5.72890573480676e-110,"1","Fam46a"
"Sdc4",9.91468743649086e-111,0.2873015468709,0.723,0.422,1.79227804789445e-106,"1","Sdc4"
"Rplp1",1.37740686288824e-109,0.252872023148869,1,0.89,2.48993838604306e-105,"1","Rplp1"
"Gm8730",5.03226359819109e-109,0.319890116210721,0.962,0.671,9.09682290645003e-105,"1","Gm8730"
"Gadd45g",8.61720549703154e-108,0.388235543109661,0.735,0.48,1.55773223769839e-103,"1","Gadd45g"
"Lgals11",9.08665561686968e-108,0.318427488897613,0.997,0.708,1.64259473586153e-103,"1","Lgals1"
"Ubc",8.74056565396509e-106,0.389109190922443,0.99,0.773,1.58003205326727e-101,"1","Ubc"
"Tmem176a",1.30856253071097e-104,0.335437267350962,0.717,0.442,2.36548848676622e-100,"1","Tmem176a"
"Thbs11",1.40032190481071e-103,0.2887475055155,0.779,0.457,2.53136190732632e-99,"1","Thbs1"
"Mgp1",7.3496661192799e-101,0.273523341400637,1,0.864,1.32859914438223e-96,"1","Mgp"
"Ptgs2",2.35630398207926e-99,0.458445389446893,0.45,0.218,4.25949070840468e-95,"1","Ptgs2"
"Tnfsf9",2.2657378635543e-91,0.286680443732222,0.263,0.097,4.09577433594711e-87,"1","Tnfsf9"
"Has1",2.20415281551654e-87,0.584870587463321,0.309,0.134,3.98444704460926e-83,"1","Has1"
"Serpinh11",1.81950976187644e-83,0.259010078294617,0.997,0.701,3.28912779654405e-79,"1","Serpinh1"
"Ccl2",1.69242818673913e-81,0.838531449680012,0.38,0.181,3.05940243316833e-77,"1","Ccl2"
"Serpine11",2.66290491340199e-81,0.335002942617674,0.59,0.352,4.81373321195677e-77,"1","Serpine1"
"Fgl2",4.75533922447522e-77,0.261187855677137,0.454,0.249,8.59622671608385e-73,"1","Fgl2"
"Cxcl14",3.58457702390041e-76,0.905557232300115,0.339,0.161,6.47983988610478e-72,"1","Cxcl14"
"Bdnf1",1.37486812854317e-59,0.367251798058141,0.423,0.252,2.48534911596748e-55,"1","Bdnf"
"Cst61",2.48239437561358e-57,0.28404681804309,0.493,0.301,4.48742431279667e-53,"1","Cst6"
"C4b",3.09244366741131e-45,0.250748674199757,0.322,0.179,5.59021041757942e-41,"1","C4b"
"Fabp4",0,1.35194493976427,0.795,0.337,0,"2","Fabp4"
"D8Ertd738e",2.49493718490185e-289,0.256579996505239,0.121,0.769,4.51009794914708e-285,"2","D8Ertd738e"
"Sub1",4.13663830149508e-281,0.251517219664459,0.098,0.71,7.47780105761265e-277,"2","Sub1"
"Ubxn1",3.00455594387344e-275,0.262030413229077,0.103,0.713,5.43133577974001e-271,"2","Ubxn1"
"Sdcbp",2.05544786090394e-272,0.26391295857701,0.098,0.698,3.71563309815605e-268,"2","Sdcbp"
"Mapre1",8.18297530206372e-268,0.253000769270973,0.08,0.656,1.47923644535406e-263,"2","Mapre1"
