"","p_val","avg_logFC","pct.1","pct.2","p_val_adj","cluster","gene"
"Rnf13",0.00457843940251418,0.349213935011628,0.368,0.193,1,"11","Rnf13"
"Hsp90aa12",0.00475295388883201,0.48266805004542,0.789,0.583,1,"11","Hsp90aa1"
"Hspa82",0.00479438619492826,0.374375252482344,0.947,0.796,1,"11","Hspa8"
"Adrb2",0.00517714886857814,0.369305607882476,0.289,0.139,1,"11","Adrb2"
"F2r2",0.00523170907644227,0.404207541228976,0.342,0.182,1,"11","F2r"
"Dnajb9",0.00566215071020587,0.358157389404511,0.395,0.221,1,"11","Dnajb9"
"Vgll4",0.00579129433454458,0.263151251630663,0.447,0.27,1,"11","Vgll4"
"Rbpj1",0.00625574041179081,0.306196153403874,0.368,0.191,1,"11","Rbpj"
"BC005537",0.00640489172374432,0.293118286432327,0.605,0.359,1,"11","BC005537"
"Cnot3",0.00667715554516263,0.265170608288048,0.368,0.2,1,"11","Cnot3"
"Sys1",0.00687582557340988,0.250307619598024,0.474,0.284,1,"11","Sys1"
"Dnajc1",0.00735201033632689,0.276868884722529,0.395,0.217,1,"11","Dnajc1"
"Serpinb91",0.00996407376439706,0.506193709602772,0.289,0.15,1,"11","Serpinb9"
"Top2a",0,2.52854692006788,0.95,0.007,0,"12","Top2a"
"Mki67",0,2.15777155389604,0.9,0.004,0,"12","Mki67"
"Prc1",0,2.03250709279718,0.8,0.006,0,"12","Prc1"
"Cdk1",0,1.76256412163462,1,0.007,0,"12","Cdk1"
"Birc5",0,1.55407058001035,0.8,0.006,0,"12","Birc5"
"Anln",0,1.49671862739626,0.85,0.003,0,"12","Anln"
"Kif11",0,1.35396511971782,0.75,0.002,0,"12","Kif11"
"Tpx2",0,1.30856848261547,0.85,0.005,0,"12","Tpx2"
"Iqgap3",0,1.25065871695675,0.75,0.001,0,"12","Iqgap3"
"Spc24",0,1.23891254888943,0.75,0.004,0,"12","Spc24"
"Hmmr",0,1.23366570989627,0.6,0.002,0,"12","Hmmr"
"Pbk",0,1.20626961477334,0.75,0.002,0,"12","Pbk"
"Nusap1",0,1.20128310117287,0.7,0.005,0,"12","Nusap1"
"Cdca3",0,1.15794166070485,0.7,0.002,0,"12","Cdca3"
"Cdca8",0,1.14657110928157,0.65,0.005,0,"12","Cdca8"
"Tk1",0,1.12945404131796,0.65,0.003,0,"12","Tk1"
"Esco2",0,1.11447326084214,0.7,0.001,0,"12","Esco2"
"Aspm",0,1.10948667413727,0.6,0.003,0,"12","Aspm"
"Diaph3",0,1.09964725750705,0.8,0.004,0,"12","Diaph3"
"Ect2",0,1.05533432104068,0.75,0.003,0,"12","Ect2"
"Casc5",0,1.04031636859512,0.7,0.003,0,"12","Casc5"
"Ccna2",0,1.03638141045827,0.65,0.002,0,"12","Ccna2"
"Aurkb",0,1.00344597410447,0.7,0.001,0,"12","Aurkb"
"Racgap1",0,1.00020600676711,0.8,0.007,0,"12","Racgap1"
"Ckap2l",0,0.990697324101854,0.65,0.003,0,"12","Ckap2l"
"Ccnb2",0,0.989064830337127,0.65,0.003,0,"12","Ccnb2"
"Mxd3",0,0.964666446151382,0.65,0.001,0,"12","Mxd3"
"Fam64a",0,0.94867211100198,0.55,0.001,0,"12","Fam64a"
"Rad51ap1",0,0.941326997279594,0.75,0.006,0,"12","Rad51ap1"
"Sgol1",0,0.940081744712962,0.65,0.001,0,"12","Sgol1"
"Dtl",0,0.915516074368989,0.7,0.003,0,"12","Dtl"
"Uhrf1",0,0.901240245628641,0.8,0.005,0,"12","Uhrf1"
"Neil3",0,0.894975731663148,0.75,0.002,0,"12","Neil3"
"Nuf2",0,0.888542014036736,0.7,0.002,0,"12","Nuf2"
"Kif22",0,0.830469272837196,0.6,0.004,0,"12","Kif22"
"Ndc80",0,0.811582086930165,0.7,0.005,0,"12","Ndc80"
"Spc25",0,0.756233321538479,0.65,0.004,0,"12","Spc25"
"Ska1",0,0.753025003901906,0.45,0.001,0,"12","Ska1"
"Kif4",0,0.748719958682608,0.6,0.002,0,"12","Kif4"
"Cenpm",0,0.735561945339976,0.55,0.003,0,"12","Cenpm"
"Cenph",0,0.714521882158208,0.7,0.001,0,"12","Cenph"
"Ncapg",0,0.678405724587196,0.5,0.001,0,"12","Ncapg"
"Ttk",0,0.658270894585769,0.65,0.002,0,"12","Ttk"
"Mis18bp1",0,0.649440910618762,0.5,0.002,0,"12","Mis18bp1"
"Dlgap5",0,0.634059626899904,0.6,0.001,0,"12","Dlgap5"
"Asf1b",0,0.6324200815949,0.6,0.003,0,"12","Asf1b"
"Shcbp1",0,0.619313425803246,0.55,0.003,0,"12","Shcbp1"
"Bub1",0,0.603503537559391,0.5,0.001,0,"12","Bub1"
"Cep55",0,0.593245903806273,0.45,0.001,0,"12","Cep55"
"Cdca5",0,0.575265147365111,0.35,0.001,0,"12","Cdca5"
"E2f2",0,0.553708626728979,0.5,0.001,0,"12","E2f2"
"Depdc1a",0,0.511938010474989,0.55,0,0,"12","Depdc1a"
"Cenpi",0,0.492794345602081,0.4,0.001,0,"12","Cenpi"
"Cdca2",0,0.489517278443447,0.45,0.001,0,"12","Cdca2"
"Nek2",0,0.486923696221177,0.45,0.001,0,"12","Nek2"
"Aunip",0,0.478869813175536,0.4,0.001,0,"12","Aunip"
"Sapcd2",0,0.476910922574467,0.45,0,0,"12","Sapcd2"
